polaridad;tweet
negativo;rt oig hij put llev mes servici reput gan solucion manifi
negativo;creativ panel cost quis vend deberi panel equilibr sierr barr ofrec product
negativo;noooo nooo comet error mal peoressssss
negativo;punt vist empresarial recib impuest gener util quiebr necesari tip acciones quieranprepar camin asegur futur rest vid
negativo;grup favorec puebl olvid resist companier rc pers
negativo;vea panavay yasuniy abraz tronc grues
negativo;pud cobertur praderaun vergenz
negativo;ap revel reunion tem concesion defin pid dialog banc condicion
negativo;cambi dar servici mierd nivel 
negativo;lut cag sum vend empres hidroelectr benefici incompetent renunci
negativo;pil instal ahorr problem servici entrad sal vas pag mult
positivo;rt coordin mintel oper transparent informacion
positivo;respons social corpor cnt evident brind apoy necesit excelent gestion man ec respald fuerz blanc volant
positivo;lind guissesegur ganarassalud
positivo;rt aniosbsc logr mejor result torne nacionalescon hombr logr vir gan co
positivo;rt apoy equip vid auquist corazon idol puebl auc
positivo;transmit noch amarill
positivo;acab envi dm
positivo;rt jug experient hinch deb sub twitt fot
positivo;renovacion equip pose plan graci
positivo;rt holgu quinionez conviert ecuatorian qued campeon futbol brasileni ht
positivo;numer hech confirm comi client cambi
positivo;rt mejor atencion usuari cnt reflej
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;buen cancel internet cas telefoni fij
positivo;lind notici felic marc atlet impresion 
positivo;red social mes
positivo;plan uds cambi
positivo;rt felicit miembr present ta memori sostenibil empres somet voluntariam
positivo;genial pan
positivo;rt conoc nariz diabl vacacionesetiquet person especial pued visit siti turistic
positivo;felicit ing romer cnt carbensemix present
positivo;cuantam dem informacion comb conoc
positivo;rt person pid informacion cierr respondi
positivo;salud cost plan hari obten graci
positivo;intencion entreg concesion administracion reflexion coordin banc asambl via
positivo;resolvi graci
positivo;realiz trabaj fusion fibr optic
positivo;numer mient buen manej frut empres rentabl telecomun
positivo;interes revis
positivo;benefici insuper futbol cas excelent gestion coop unid present
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;rt enfrent obtien noven estrell
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;recibi mensaj dic utilic meg
positivo;decepcion ple
positivo;rt graci nominacion honr distincion votacion
positivo;rt continu apoy continu
positivo;prueb
positivo;merec hij hermos
positivo;pas chever 
positivo;rt numer mient buen manej frut empres rentabl telecomunic
positivo;ped vuelv telesur parril client merec respet
positivo;qued sald haz recarg mantent comunic sms cobr amig
positivo;quis neces quis plan mami dispuest pag
positivo;quier cambi avisenm senial cubr barri centenari llam indic cubri sector
positivo;mal cnt
positivo;cas continuar instanci graci
positivo;empres recurs rif
positivo;rt rafael villavicenci gerent regional austr hol gent explic mani
positivo;gent refuerz
positivo;rt pedr quinionez vest camiset bombill viv experient mensaje emelec
positivo;netlif internet tv pag directv cambi valdr pen creem
positivo;rt ani dquit vivi glori proclam ta campeon ecuador recuerd htt
positivo;rt oficin urdes bals call unic edifici esqu
positivo;pas aplic whatsapp sirv internet select sirv determin app
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest
positivo;ose defiend reclam sup servici cobr terceriz ose maquin cajer cobr empres cobr ctvos mand verg
positivo;depend sector viv conozc person utiliz negoci buenoper quier ve punt net buenosalud
positivo;rt ani naci agustin delgadoun futbol influyent historiaclav clasif mundial gole
positivo;deshac activ perdidasd analisis realid benefici paishay activ destru dat ani favor partid analit
positivo;ani fund unic equip campeon cop libert unic equip ecuatorian gan torne internacionalespor olvid recuerd pil
positivo;amig pas oper ped millon simplement cuelg telefon pong numer blacklist opcion androids recib llam numer blacklist entran suen 
positivo;mal ide concesion deberi pens vend exist algui interes compr
positivo;rt ani naci raul pavit noriegael unic ecuatorian jug bocajrs campeon bsc don
positivo;rt pirl noch amarill pued cumpl sueni viv
positivo;excelent dieg vot abraz
positivo;rt manabit vot jocelyn ver ver nomin premi categori
positivo;rt manian proyect inici recorr quit tren sueni agr
positivo;buen campeonat ecuatorian futbol cost adicional ani seguir ani
positivo;consider favor necesit informacion
positivo;quier pongal ojo
positivo;ener recarg 
positivo;graci brind servici calid
positivo;cnt lid tecnologi carbensemix present
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam 
positivo;numer llam servivi tecnic internet
positivo;interes
positivo;empres
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;rt vot sucr deport emision categori panel radi nomin pr
positivo;hor atiend
positivo;graci vist pais atiend rap felic fiest
positivo;pas emple vend bas llam numer ofrec servici espos
positivo;empres calid buen servici
positivo;jorg enriqu puent vill 
positivo;rt candidat luch vest camiset equip armad grup ivan hurt pondr prueb tendr
positivo;felicit excelent ventaj 
positivo;coordin mintel oper transparent informacion clar precis orig llam provenient call cent usuari dec contest llam
positivo;rt samsung quis navid elig galaxy galaxy
positivo;suscriptor cnt pas
positivo;rt alianz nacional internacional particip mund
positivo;rt graci apoy proyect distint deport tradicional
positivo;llam 
positivo;rt navid elig mot mot mot dobl gig naveg
positivo;concesion ani cost millon dolar util santiag cuest banquer llev gratis tramit papi puebl pag
positivo;hol graci viv guayaquil via acla cost ciudadel puert azul mz prim numer graci ayudenm
